district_code,crop_code,season_code,irrigation_type,area_hectares,historical_loss_rate,drought_prone_score,flood_prone_score,pest_history_score,risk_level
5,21,2,5,1.2449781145176502,0.2589000916961158,0.5589957522169628,0.8508299606018641,0.5826260010513961,2
1,4,2,0,17.018630801370605,0.3154166725599112,0.9117801248883064,0.5059039512650967,0.5414025910666579,2
22,16,2,2,2.705884686722617,0.48040335768662634,0.5432728916406531,0.017513893907855405,0.6213874068851823,1
17,20,2,2,1.5566293446061068,0.16815152773375724,0.1562847111910508,0.4712663511436871,0.9268396498348115,1
18,8,1,2,16.02917707815144,0.3061199308342624,0.1850670484130542,0.8296078365898356,0.6276758704370641,2
28,27,2,6,11.024372494958264,0.2503433498224632,0.2980204488802324,0.9603120275255423,0.7954114607864584,1
3,18,4,4,10.243812536914298,0.467969062845131,0.6689259853495316,0.24181207591271314,0.644069852078712,1
31,25,4,2,9.441160632493808,0.18022059559120562,0.5414005486783829,0.31345956150496723,0.3496868693413695,1
24,10,1,2,3.705183411909037,0.2886308658014843,0.7690663810704141,0.20654653299867165,0.3608211985628581,1
1,16,3,0,12.054897880752922,0.2844277653816834,0.07989176968273004,0.18572269608100678,0.9274315779901339,2
36,6,2,3,2.4931647923160005,0.4873653339699117,0.8132633165855016,0.44770474813828987,0.9825600281376762,1
12,4,1,3,13.319820510966842,0.07492111914158456,0.5549060321715862,0.7815541265302874,0.8734244336492684,1
26,2,1,0,15.609771109503278,0.11635402354171764,0.2677819934719887,0.10842262829490223,0.6822181837068936,2
2,20,3,1,6.727764317643431,0.13079115395929825,0.35134944672821145,0.2133054985236713,0.4398118803368246,1
35,27,1,3,12.229421483737148,0.3477328482740333,0.9536365521513979,0.13176158684132433,0.7903893562191596,1
12,15,4,2,12.756295218996282,0.029936183573781028,0.4756746090221857,0.4599364779138536,0.6215987599341967,1
3,16,1,6,13.8029794806913,0.23046058150637083,0.8679816920496709,0.9171616324107552,0.8448290492746239,2
36,1,3,6,19.40563742756567,0.05340515299584769,0.7626953275790576,0.4589692883793639,0.022444951195177865,1
5,1,3,0,18.875541651634375,2.462746112597003e-05,0.724856477280538,0.27337436889712685,0.08485065136058823,1
13,24,2,2,2.529050951908409,0.38711510970105667,0.5972395613145368,0.7497507354278329,0.16740167174966425,1
25,4,1,0,4.425580790036864,0.05830907198448154,0.7246266862705923,0.29125221239782906,0.3809411122361077,2
33,5,1,0,8.310207328015224,0.25154866108942114,0.8180081386170136,0.1245996103942223,0.9961530223198669,3
11,13,2,0,5.880397690116757,0.46725651834785925,0.46550367107478774,0.8985456497394313,0.5388545127192951,3
10,28,3,1,4.139674696203851,0.014156349837605331,0.1741976959514424,0.2441266944443461,0.895100838788781,0
35,16,1,2,3.9985784775431283,0.14580822364029833,0.20594387096573075,0.658896332035755,0.9684688711520566,1
5,7,1,0,6.309161071287547,0.4627883802483265,0.05260229042948361,0.03993800947842052,0.944569041384827,2
29,7,2,1,19.024074254288823,0.04765295859835095,0.8572863651827116,0.953225058166003,0.31825981176807205,1
10,11,1,4,9.126221425947215,0.24425960562387095,0.7110722622034088,0.09499611906192329,0.8748456992743996,1
8,18,2,3,14.935409823887815,0.19453299931125334,0.9695581048464835,0.2956310641331008,0.3572691213483433,1
21,22,2,2,16.932579653817573,0.21664964056405744,0.5150558356406792,0.8678618051753831,0.9446884361150563,1
33,13,1,0,4.28346746358476,0.1214828056553875,0.08627424766614777,0.36576336910139784,0.9981361577675958,2
4,19,4,0,8.378135459012807,0.14247477980033585,0.33983034716390637,0.21862410480122396,0.13314482362220115,2
35,24,1,0,5.574351895267437,0.23140719524499181,0.4612786909833324,0.9412581102322853,0.10889731086921395,3
