district_code,crop_code,loss_type_code,growth_stage,area_hectares,rainfall_current_month,temperature_deviation,days_since_sowing,loss_occurred
21,5,2,0,19.446067963935995,216.98452700601388,-1.9442694959158384,33,0
36,26,6,0,8.186420991962882,69.62640401671685,4.302295080712877,32,0
4,4,7,0,17.125593771804592,76.21135689203084,2.782550083083537,104,0
33,12,0,3,5.097258533170962,90.19608462567686,6.041510605737798,17,1
21,28,2,2,8.04003167455543,52.17033201105223,9.870590116637935,188,1
4,24,6,0,10.50246518392126,25.532425697337413,4.890300156401544,190,0
24,21,4,2,9.011034795136057,121.6947958998173,-3.6935441838254697,19,0
23,27,4,2,4.686952424107871,292.3228785183869,9.545835598044615,199,0
26,14,6,1,4.235306436815885,296.0759834246934,2.460397560391689,164,0
4,5,2,1,9.408622551195567,36.303659306582944,-7.458583045509945,7,1
8,22,8,1,19.904088134733268,78.70734548688361,7.1962625964390945,61,0
4,20,5,3,2.8059141931705924,112.48009631389955,1.1009003765090668,132,0
36,9,7,0,18.849018715453788,123.42594835473633,8.486882927932726,145,0
2,6,6,2,16.32548424493923,298.77638333968775,-2.391741986878295,40,0
15,12,2,2,10.239510906081996,268.9623796307958,-0.06898948017218842,74,1
30,21,5,0,3.3793773557569677,3.171629902807238,5.677407393868341,186,0
22,25,5,2,8.978956188802773,191.73744105789586,-1.5072351703002553,193,0
20,25,2,3,6.547784615844776,155.03664874940787,0.7705535130835965,89,0
33,1,7,1,14.948051179492476,216.26377557600372,5.040912047993283,25,0
11,6,7,2,15.17651498142611,155.59897296555815,5.0782975305420095,49,0
32,28,2,1,2.72900639210571,27.260629967272145,-9.159241077244701,124,1
19,4,3,2,17.90859100505264,69.11142418952619,-5.602902163141989,96,0
9,1,8,3,1.1738444245169166,146.39383933463753,1.3838049382794697,43,0
30,3,7,0,10.973128159919112,72.27601790617848,-1.2643753218753773,41,0
9,12,8,3,1.9485745803298529,52.55003404251525,-8.726902206663764,173,0
11,5,5,1,11.237191743330843,10.718296621626699,7.696802464086076,52,0
23,21,1,1,0.8467621430822805,64.69012499999842,8.743075365096423,7,0
17,5,2,0,5.922770229093931,68.87560850084495,2.384082028841334,99,0
9,21,3,3,13.900760785678559,0.10640152803621516,9.0361183868811,65,0
19,24,7,1,1.6503562486601018,67.06792455824392,2.6936030127089072,62,0
29,2,0,3,12.830429142046915,3.557839444163702,5.1489043439748645,99,1
30,10,0,1,7.300112781356155,130.01846106300127,1.4638280415229605,99,0
2,3,2,1,4.345174513619637,145.27782107817242,8.002913696161272,99,1
13,11,6,0,9.373294580086808,16.406877032230838,-2.7761929797445735,132,0
3,17,0,1,17.03384371614915,85.65687597304917,-7.403249563130396,183,1
12,20,7,2,17.082917294343897,297.81444802427916,8.783324737059534,29,1
3,4,7,0,14.772224355664592,200.23183060751754,-9.063566488983646,171,0
10,14,7,1,12.041144020995237,203.955251596778,-4.905312951637287,101,0
9,13,5,0,14.860006604110389,294.8171397255511,-9.150746585031984,185,0
35,10,7,0,5.303766551183633,3.944745152260787,-8.028369250233743,147,1
11,26,7,2,7.74081831381302,180.42467923814738,-0.2757169818568901,11,0
7,24,8,3,11.764335643228621,212.25442016419896,2.429462396121407,141,0
22,13,7,1,13.249899126178793,11.167796816039965,6.659917084703682,45,0
